Candidate,Party,Race,JurisdictionName ,County,Votes
Troy Kelley,(Prefers Democratic Party),Washington State State Auditor,Washington State,Lincoln,1606
Bob Ferguson,(Prefers Democratic Party),Washington State Attorney General,Washington State,Lincoln,1633
Reagan Dunn,(Prefers Republican Party),Washington State Attorney General,Washington State,Lincoln,3915
Peter J. Goldmark,(Prefers Democratic Party),Washington State Commissioner of Public Lands,Washington State,Lincoln,2024
Clint Didier,(Prefers Republican Party),Washington State Commissioner of Public Lands,Washington State,Lincoln,3598
Randy I. Dorn,4258,Washington State Superintendent of Public Instruction,,Lincoln,100
Mike Kreidler,(Prefers Democratic Party),Washington State Insurance Commissioner,Washington State,Lincoln,1802
John R. Adams,(Prefers Republican Party),Washington State Insurance Commissioner,Washington State,Lincoln,3604
Judith (Judy) Warnick,(Prefers Republican Party),Legislative District 13 State Representative Pos. 1,Legislative District 13,Lincoln,4513
Matt Manweller,(Prefers Republican Party),Legislative District 13 State Representative Pos. 2,Legislative District 13,Lincoln,4156
Kaj Selmann,(Prefers Democratic Party),Legislative District 13 State Representative Pos. 2,Legislative District 13,Lincoln,1195
Mark R. Stedman,(Prefers Republican Party),COUNTYWIDE COUNTY COMMISSIONER 1,COUNTYWIDE,Lincoln,2809
Alan Stromberger,(Prefers Republican Party),COUNTYWIDE COUNTY COMMISSIONER 1,COUNTYWIDE,Lincoln,2359
Scott M. Hutsell,(Prefers Republican Party),COUNTYWIDE COUNTY COMMISSIONER 2,COUNTYWIDE,Lincoln,4778
Susan Owens,4107,Supreme Court Justice Position 2,,Lincoln,100
Steve Gonzalez,4061,Supreme Court Justice Position 8,,Lincoln,100
Sheryl Gordon McCloud,1794,Supreme Court Justice Position 9,,Lincoln,38.9915
Richard B. Sanders,2807,Supreme Court Justice Position 9,,Lincoln,61.0085
 Division 3, District 1 Judge Position 1,Court of Appeals,100,Lincoln,Laurel Siddoway
John F. Strohmaier,4278,Lincoln Superior Court Judge Position 1,,Lincoln,100
Levy, Yes,RITZVILLE SCHOOL DISTRICT 067 Ritzville School District #160 - Special Election Proposition 1 Capital Levy to Improve Jimmie Snider Field,RITZVILLE SCHOOL DISTRICT 067,Lincoln,9
Levy, No,RITZVILLE SCHOOL DISTRICT 067 Ritzville School District #160 - Special Election Proposition 1 Capital Levy to Improve Jimmie Snider Field,RITZVILLE SCHOOL DISTRICT 067,Lincoln,1
Yes,74,PARK/REC DISTRICT 4 Coulee Area Park and Recreation District - Proposition No. 1 Maintenance and Operation Levy,,Lincoln,54.4118
No,62,PARK/REC DISTRICT 4 Coulee Area Park and Recreation District - Proposition No. 1 Maintenance and Operation Levy,,Lincoln,45.5882
Levy Yes,975,PARK/REC DISTRICT 3 Park & Recreation District No. 3 -- Proposition No. 1 Six Year Levy for Maintenance and Operation,,Lincoln,63.6423
Levy No,557,PARK/REC DISTRICT 3 Park & Recreation District No. 3 -- Proposition No. 1 Six Year Levy for Maintenance and Operation,,Lincoln,36.3577
Marlon K. Schafer,1226,PUBLIC UTILITY DIST 1 PUBLIC UTILITY COMMISSIONER 1,,Lincoln,27.8763
Stephen G. Krupke,2366,PUBLIC UTILITY DIST 1 PUBLIC UTILITY COMMISSIONER 1,,Lincoln,53.7972
Mary Anne Hale,806,PUBLIC UTILITY DIST 1 PUBLIC UTILITY COMMISSIONER 1,,Lincoln,18.3265
Loren Rux,4181,PUBLIC UTILITY DIST 1 PUBLIC UTILITY COMMISSIONER 2,,Lincoln,100
Yes,19814,Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government,,Mason,72.9287
No,7355,Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government,,Mason,27.0713
Yes,15464,Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system,,Mason,56.2348
No,12035,Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system,,Mason,43.7652
Approved,13498,Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples,,Mason,47.9844
Rejected,14632,Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples,,Mason,52.0156
Yes,15606,Statewide Initiative Measure No. 502 Concerns marijuana,,Mason,55.3247
No,12602,Statewide Initiative Measure No. 502 Concerns marijuana,,Mason,44.6753
Approved,15870,Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit,,Mason,61.9245
Rejected,9758,Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit,,Mason,38.0755
Approved,9606,Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University,,Mason,36.6334
Rejected,16616,Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University,,Mason,63.3666
Repealed,16090,Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans,,Mason,64.0551
Maintained,9029,Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans,,Mason,35.9449
Repealed,15564,Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products,,Mason,63.007
Maintained,9138,Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products,,Mason,36.993
Barack Obama / Joe Biden,Democratic Party Nominees,United States President/Vice President,United States,Mason,14764
Mitt Romney / Paul Ryan,Republican Party Nominees,United States President/Vice President,United States,Mason,12761
Gary Johnson / James P. Gray,Libertarian Party Nominees,United States President/Vice President,United States,Mason,357
Virgil Goode / James N. Clymer,Constitution Party Nominees,United States President/Vice President,United States,Mason,104
Jill Stein / Cheri Honkala,Green Party Nominees,United States President/Vice President,United States,Mason,175
Peta Lindsay / Yari Osorio,Socialism & Liberation Party Nominees,United States President/Vice President,United States,Mason,17
James Harris / Alyson Kennedy,Socialist Workers Party Nominees,United States President/Vice President,United States,Mason,9
Ross C. (Rocky) Anderson / Luis J. Rodriguez,Justice Party Nominees,United States President/Vice President,United States,Mason,48
Maria Cantwell,(Prefers Democratic Party),United States U.S. Senator,United States,Mason,16057
Michael Baumgartner,(Prefers Republican Party),United States U.S. Senator,United States,Mason,11885
Derek Kilmer,(Prefers Democratic Party),Congressional District 6 U.S. Representative,Congressional District 6,Mason,11007
Bill Driscoll,(Prefers Republican Party),Congressional District 6 U.S. Representative,Congressional District 6,Mason,9818
Denny Heck,(Prefers Democratic Party),Congressional District 10 U.S. Representative,Congressional District 10,Mason,3899
Richard (Dick) Muri,(Prefers Republican Party),Congressional District 10 U.S. Representative,Congressional District 10,Mason,2420
Jay Inslee,(Prefers Democratic Party),Washington State Governor,Washington State,Mason,13175
Rob McKenna,(Prefers Republican Party),Washington State Governor,Washington State,Mason,14708
Brad Owen,(Prefers Democrat Party),Washington State Lt. Governor,Washington State,Mason,16074
Bill Finkbeiner,(Prefers Republican Party),Washington State Lt. Governor,Washington State,Mason,11209
Kim Wyman,(Prefers Republican Party),Washington State Secretary of State,Washington State,Mason,14623
Kathleen Drew,(Prefers Democratic Party),Washington State Secretary of State,Washington State,Mason,12181
Jim McIntire,(Prefers Democratic Party),Washington State State Treasurer,Washington State,Mason,14584
Sharon Hanek,(Prefers Republican Party),Washington State State Treasurer,Washington State,Mason,11997
James Watkins,(Prefers Republican Party),Washington State State Auditor,Washington State,Mason,13239
Troy Kelley,(Prefers Democratic Party),Washington State State Auditor,Washington State,Mason,13026
Bob Ferguson,(Prefers Democratic Party),Washington State Attorney General,Washington State,Mason,13817
Reagan Dunn,(Prefers Republican Party),Washington State Attorney General,Washington State,Mason,13048
Peter J. Goldmark,(Prefers Democratic Party),Washington State Commissioner of Public Lands,Washington State,Mason,14327
Clint Didier,(Prefers Republican Party),Washington State Commissioner of Public Lands,Washington State,Mason,12056
Randy I. Dorn,20273,Washington State Superintendent of Public Instruction,,Mason,100
Mike Kreidler,(Prefers Democratic Party),Washington State Insurance Commissioner,Washington State,Mason,14714
John R. Adams,(Prefers Republican Party),Washington State Insurance Commissioner,Washington State,Mason,11619
Kathy Haigh,(Prefers Democratic Party),Legislative District 35 State Representative Pos. 1,Legislative District 35,Mason,13949
Dan Griffey,(Prefers Republican Party),Legislative District 35 State Representative Pos. 1,Legislative District 35,Mason,13346
Drew C. MacEwen,(Prefers Republican Party),Legislative District 35 State Representative Pos. 2,Legislative District 35,Mason,14858
Lynda Ring-Erickson,(Prefers Democratic Party),Legislative District 35 State Representative Pos. 2,Legislative District 35,Mason,11954
Denny Hamilton,(Prefers Democratic Party),Mason County County Commissioner District 1,Mason County,Mason,12180
Randy Neatherlin,(States No Party Preference),Mason County County Commissioner District 1,Mason County,Mason,13653
Tim Sheldon,(Prefers Democratic Party),Mason County County Commissioner District 2,Mason County,Mason,13867
Roslynne Reed,(Prefers Democratic Party),Mason County County Commissioner District 2,Mason County,Mason,11840
Ross Gallagher,(Prefers Democratic Party),Mason County County Commissioner District 3,Mason County,Mason,12240
Terri Jeffreys,(Prefers Independent Party),Mason County County Commissioner District 3,Mason County,Mason,13235
Susan Owens,19641,Supreme Court Justice Position 2,,Mason,100
Steve Gonzalez,19378,Supreme Court Justice Position 8,,Mason,100
Sheryl Gordon McCloud,11517,Supreme Court Justice Position 9,,Mason,50.985
Richard B. Sanders,11072,Supreme Court Justice Position 9,,Mason,49.015
 Division 2, District 2 Judge Position 2,Court of Appeals,50.4587,Mason,Pamela (Pam) Loginsky
 Division 2, District 2 Judge Position 2,Court of Appeals,49.5413,Mason,Thomas Bjorgen
Amber L Finlay,20074,Mason Superior Court Judge Position 1,,Mason,100
Toni A. Sheldon,19935,Mason Superior Court Judge Position 2,,Mason,100
Johnny H. (Jack) Janda,879,Public Utility Dist 1 Commissioner District 3,,Mason,59.3117
Willie Pierce,603,Public Utility Dist 1 Commissioner District 3,,Mason,40.6883
Bruce E Jorgenson,18379,Public Utility Dist 3 Commissioner District 3,,Mason,100
Approved,19,McCleary School 65 McCleary SD #65 Proposition concerning the dissolution and reapportionment of its directors' districts,,Mason,100
Rejected,0,McCleary School 65 McCleary SD #65 Proposition concerning the dissolution and reapportionment of its directors' districts,,Mason,0
Yes,11259,Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government,,Okanogan,70.0535
No,4813,Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government,,Okanogan,29.9465
Yes,7511,Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system,,Okanogan,46.196
No,8748,Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system,,Okanogan,53.804
Approved,6662,Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples,,Okanogan,40.0385
Rejected,9977,Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples,,Okanogan,59.9615
Yes,8599,Statewide Initiative Measure No. 502 Concerns marijuana,,Okanogan,51.3987
No,8131,Statewide Initiative Measure No. 502 Concerns marijuana,,Okanogan,48.6013
Approved,9236,Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit,,Okanogan,61.1939
Rejected,5857,Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit,,Okanogan,38.8061
Approved,5079,Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University,,Okanogan,32.878
Rejected,10369,Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University,,Okanogan,67.122
Repealed,9919,Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans,,Okanogan,66.5794
Maintained,4979,Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans,,Okanogan,33.4206
